seed,model,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_accuracy_std,cv_precision_std,cv_recall_std,cv_f1_std
41,LR,0.6927083333333333,0.46117216117216114,0.25263157894736843,0.3213399503722084,0.03578242507774514,0.11889903378867861,0.10205641805087008,0.10969313743854159
41,SVM,0.6928075396825397,0.38,0.09473684210526315,0.14713804713804712,0.015485091050670917,0.22070593809662464,0.06982367979695578,0.09863423589025896
41,KNN,0.676984126984127,0.41216450216450207,0.15789473684210525,0.2243090762311152,0.04367125016694468,0.17231212247316727,0.057655006053175376,0.08469872207187452
41,RF,0.6707341269841269,0.42227272727272724,0.2631578947368421,0.3220827374331268,0.05017885190441739,0.14051557956032332,0.08153649149910351,0.09881508547522116
41,GB,0.6865575396825397,0.4552380952380952,0.3052631578947368,0.3631077509373656,0.04607101627790855,0.10785898242938764,0.10205641805087008,0.10674366887965271
41,MLP,0.6456349206349207,0.3905780494015788,0.2947368421052632,0.33294567294567295,0.055564722528846804,0.13124725106315974,0.0713929471907923,0.08657197466980006
42,LR,0.6520833333333333,0.36924242424242426,0.14736842105263157,0.20352380952380952,0.07060318001179393,0.15669011019719406,0.061378440998371586,0.07843803973262913
42,SVM,0.6865575396825397,0.0,0.0,0.0,0.030832832190366723,0.0,0.0,0.0
42,KNN,0.6362103174603175,0.3118104118104118,0.16842105263157894,0.21789408866995075,0.04487796337218156,0.12660798861116757,0.0515682051112248,0.07368752188864044
42,RF,0.6396825396825397,0.3540518305224188,0.2,0.24911111111111112,0.04510191665680527,0.08687599720095696,0.021052631578947368,0.016871335907646497
42,GB,0.6334325396825398,0.3520211161387632,0.21052631578947367,0.262265171177852,0.08344943608047423,0.15192496948724726,0.08153649149910351,0.10572775191427394
42,MLP,0.6084325396825397,0.34479876160990713,0.29473684210526313,0.3121504025315277,0.06791169167585312,0.109473158874102,0.0713929471907923,0.07474881271091997
46,LR,0.6675595238095238,0.36222222222222217,0.1789473684210526,0.23359857046266783,0.028852934875104628,0.103661367019472,0.0855161937330101,0.09669218315391617
46,SVM,0.6895833333333333,0.05,0.010526315789473684,0.017391304347826087,0.016666666666666677,0.1,0.021052631578947368,0.034782608695652174
46,KNN,0.620734126984127,0.2842857142857143,0.1789473684210526,0.21843799507870698,0.024236823778254247,0.048739206026377095,0.042105263157894736,0.04331921444975922
46,RF,0.6489583333333333,0.28725274725274724,0.17894736842105263,0.21927899686520375,0.017616181797174744,0.15216919634375375,0.1031364102224496,0.12101328591266512
46,GB,0.6299603174603174,0.30925087983911514,0.1894736842105263,0.23103771974739717,0.03374219264791247,0.07145638853963046,0.05367388961676615,0.05255446528219883
46,MLP,0.5954365079365079,0.30095238095238097,0.27368421052631575,0.2787110187110187,0.040694379145234855,0.03609636887285185,0.09055079228465923,0.07080191613288472
